"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): Total","2017",143.984,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): X. Sin escolaridad","2017",0,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 1. Educación primaria","2017",6.329,"Poco fiable","Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 2. Educación secundaria baja","2017",5.722,"Poco fiable","Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 3. Educación secundaria alta","2017",46.467,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 4. Educación postsecundaria no terciaria","2017",0,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 5. Educación terciaria de ciclo corto","2017",9.875,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 6. Grado en educación terciaria o nivel equivalente","2017",51.389,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 7. Nivel de maestría, especialización o equivalente","2017",14.627,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 8. Nivel de doctorado o equivalente","2017",4.351,"Poco fiable","Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Hombres","Educación (CINE-11): 9. No clasificado en otra parte","2017",4.484,"Poco fiable","Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): Total","2017",158.625,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): X. Sin escolaridad","2017",0,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 1. Educación primaria","2017",8.76,"Poco fiable","Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 2. Educación secundaria baja","2017",15.353,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 3. Educación secundaria alta","2017",45.124,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 4. Educación postsecundaria no terciaria","2017",1.486,"Poco fiable","Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 5. Educación terciaria de ciclo corto","2017",9.678,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 6. Grado en educación terciaria o nivel equivalente","2017",51.382,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 7. Nivel de maestría, especialización o equivalente","2017",18.407,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 8. Nivel de doctorado o equivalente","2017",0,,"Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Australia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EH - Encuesto sobre la Educación y el Trabajo","Sexo: Mujeres","Educación (CINE-11): 9. No clasificado en otra parte","2017",5.741,"Poco fiable","Observaciones: Datos ajustados al azar para protección de confidencialidad. Suma de artículos puede no ser igual al total.","Cobertura geográfica: Total nacional Excluye ciertas áreas | Cobertura de la población: Cobertura de la población no estándar | Cobertura de edad - edad máxima: 74 años"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Hombres","Educación (Niveles agregados): Total","2020",422.246,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Hombres","Educación (Niveles agregados): Menos que básico","2020",25.255,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Hombres","Educación (Niveles agregados): Básico","2020",116.844,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Hombres","Educación (Niveles agregados): Intermedio","2020",134.539,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Hombres","Educación (Niveles agregados): Avanzado","2020",145.608,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Mujeres","Educación (Niveles agregados): Total","2020",430.908,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Mujeres","Educación (Niveles agregados): Menos que básico","2020",28.553,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Mujeres","Educación (Niveles agregados): Básico","2020",104.423,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Mujeres","Educación (Niveles agregados): Intermedio","2020",126.466,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Bélgica","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta de la Fuerza de Trabajo","Sexo: Mujeres","Educación (Niveles agregados): Avanzado","2020",171.466,,,"Cobertura de la población: Excluye a las Fuerzas Armadas y/o reclutas"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Hombres","Educación (Niveles agregados): Total","2019",2.846,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Hombres","Educación (Niveles agregados): Menos que básico","2019",0.997,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Hombres","Educación (Niveles agregados): Básico","2019",0.62,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Hombres","Educación (Niveles agregados): Intermedio","2019",0.402,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Hombres","Educación (Niveles agregados): Avanzado","2019",0.827,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Hombres","Educación (Niveles agregados): Nivel desconocido","2019",0,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Mujeres","Educación (Niveles agregados): Total","2019",3.009,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Mujeres","Educación (Niveles agregados): Menos que básico","2019",1.205,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Mujeres","Educación (Niveles agregados): Básico","2019",0.948,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Mujeres","Educación (Niveles agregados): Intermedio","2019",0.399,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Mujeres","Educación (Niveles agregados): Avanzado","2019",0.455,,,"Período de referencia de los datos: Diciembre"
"Burkina Faso","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","CP - Censo de Población","Sexo: Mujeres","Educación (Niveles agregados): Nivel desconocido","2019",0.002,,,"Período de referencia de los datos: Diciembre"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Total","2021",72.7,,,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Menos que básico","2021",,"Poco fiable",,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Básico","2021",25.7,,,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Intermedio","2021",,"Poco fiable",,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Avanzado","2021",24.1,,,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Nivel desconocido","2021",,"Poco fiable",,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Total","2021",71.6,,,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Menos que básico","2021",,"Poco fiable",,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Básico","2021",24.2,,,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Intermedio","2021",,"Poco fiable",,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Avanzado","2021",26.7,,,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Nivel desconocido","2021",,"Poco fiable",,"Institución que produce los datos: Oficina Nacional de Estadística | Cobertura de la población: Excluye a la población institucional | Definición de población residente: Vive en el país durante más de 3 meses | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Total","2020",60.2,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Menos que básico","2020",,"Poco fiable",,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Básico","2020",,"Poco fiable",,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Intermedio","2020",,"Poco fiable",,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Avanzado","2020",,"Poco fiable",,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Total","2020",60.5,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Menos que básico","2020",,"Poco fiable",,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Básico","2020",,"Poco fiable",,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Intermedio","2020",,"Poco fiable",,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Mujeres","Educación (Niveles agregados): Avanzado","2020",,"Poco fiable",,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Total","2018",86.4,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Básico","2018",21,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Intermedio","2018",37.4,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
"Alemania","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Microcenso","Sexo: Hombres","Educación (Niveles agregados): Avanzado","2018",27.3,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 74 años"
